iter	Accuracy	Logloss
0	0.7545635834	0.6698258245
1	0.7663752109	0.6504347907
2	0.7668354042	0.6328854462
3	0.770823746	0.6148042086
4	0.7743518945	0.5986931291
5	0.7801810094	0.5844468604
6	0.7835557601	0.5722356187
7	0.7821751802	0.5614705411
8	0.7835557601	0.5525809121
9	0.782942169	0.5448210829
10	0.7820217825	0.5361305659
11	0.7820217825	0.5306651321
12	0.7818683847	0.5238693836
13	0.7853965332	0.5187379631
14	0.7850897377	0.5127095736
15	0.7850897377	0.5068732637
16	0.7858567265	0.5027009603
17	0.7860101243	0.4975562629
18	0.7873907041	0.4942454931
19	0.7876974996	0.4895725706
20	0.789384875	0.4852821493
21	0.789384875	0.4812686509
22	0.7903052615	0.4778775689
23	0.7909188526	0.4747598037
24	0.7926062279	0.471330179
25	0.7927596257	0.4680876485
26	0.7926062279	0.4649539459
27	0.7930664212	0.4624027419
28	0.7941402056	0.4596929821
29	0.7941402056	0.4567416033
30	0.7949071944	0.4551673009
31	0.7941402056	0.4526612318
32	0.7944470011	0.4511261757
33	0.7949071944	0.4491511724
34	0.7953673876	0.4471482581
35	0.7944470011	0.445388257
36	0.7953673876	0.4437853713
37	0.7972081608	0.4420680928
38	0.7972081608	0.4403684873
39	0.7965945697	0.438636718
40	0.7969013652	0.4373803221
41	0.7973615585	0.4362645345
42	0.7979751496	0.4344662582
43	0.7987421384	0.4329962016
44	0.7987421384	0.4315874191
45	0.7985887406	0.4304839194
46	0.7987421384	0.4294793625
47	0.7993557294	0.4283346207
48	0.7992023316	0.4270673331
49	0.8004295137	0.4249718035
50	0.800276116	0.4239428263
51	0.8007363092	0.4228203549
52	0.8011965025	0.4216487419
53	0.8019634913	0.4208348028
54	0.8024236846	0.4200210549
55	0.8033440712	0.4192533791
56	0.8028838779	0.4185891023
57	0.8031906734	0.4173594485
58	0.8031906734	0.4167726421
59	0.8038042645	0.4161993558
60	0.8044178555	0.4146719626
61	0.8044178555	0.4138748828
62	0.8045712533	0.4133748646
63	0.804724651	0.4123493514
64	0.8048780488	0.411866706
65	0.8065654241	0.4101854025
66	0.8056450376	0.4091106862
67	0.8057984353	0.4085298162
68	0.8056450376	0.4079240664
69	0.8070256174	0.4072784256
70	0.8070256174	0.4065422096
71	0.8074858107	0.4057448208
72	0.8076392085	0.405318795
73	0.807946004	0.4046337662
74	0.8088663906	0.4038144133
75	0.8082527995	0.4032654102
76	0.8080994017	0.4023900135
77	0.807946004	0.4018563184
78	0.8080994017	0.4016254668
79	0.8088663906	0.4005938635
80	0.8090197883	0.399765351
81	0.8090197883	0.3989701596
82	0.8099401749	0.3984770282
83	0.8107071637	0.3978344865
84	0.8110139592	0.3971848387
85	0.8110139592	0.3966342289
86	0.8119343458	0.3959513718
87	0.8125479368	0.3952115264
88	0.8125479368	0.3940249773
89	0.8128547323	0.3935703508
90	0.8134683234	0.3931128169
91	0.8136217211	0.392691438
92	0.8136217211	0.3918673552
93	0.8140819144	0.3909211775
94	0.8136217211	0.3904551518
95	0.8136217211	0.3899736774
96	0.8136217211	0.3896069661
97	0.815002301	0.3891580405
98	0.815002301	0.3885376326
99	0.815615892	0.3882395691
100	0.815002301	0.387113497
101	0.8151556987	0.3866753195
102	0.815615892	0.3864173418
103	0.8157692898	0.3859908848
104	0.8165362786	0.3854919101
105	0.8163828808	0.384668977
106	0.8159226875	0.3843856976
107	0.8166896763	0.3839522003
108	0.8163828808	0.3836727875
109	0.8168430741	0.3833495451
110	0.8165362786	0.3829790955
111	0.8173032674	0.3825516532
112	0.8171498696	0.38212138
113	0.8174566651	0.3817824315
114	0.8180702562	0.3812919189
115	0.8180702562	0.3808687904
116	0.8179168584	0.3805477545
117	0.8180702562	0.3801709972
118	0.8182236539	0.3801200809
119	0.8183770517	0.3795397284
120	0.8183770517	0.3792256966
121	0.8182236539	0.3787249997
122	0.8183770517	0.3784681944
123	0.8185304495	0.3780563978
124	0.818837245	0.377533123
125	0.8186838472	0.3771287295
126	0.8186838472	0.3768207268
127	0.8189906427	0.3766149627
128	0.8189906427	0.3762759119
129	0.8191440405	0.3759820076
130	0.8189906427	0.3756785291
131	0.8196042338	0.375049339
132	0.8206780181	0.3742959046
133	0.8205246203	0.373998723
134	0.8208314159	0.3737383553
135	0.8203712226	0.373385721
136	0.8205246203	0.3731009322
137	0.8212916091	0.3722969099
138	0.8219052002	0.3719381876
139	0.8217518024	0.3717143087
140	0.8222119957	0.3713367126
141	0.8222119957	0.3710911972
142	0.8222119957	0.370758289
143	0.8223653935	0.3704967851
144	0.8229789845	0.3698623893
145	0.8231323823	0.3695149051
146	0.8245129621	0.3689622961
147	0.8251265532	0.3682156696
148	0.8255867464	0.3678948532
149	0.8262003375	0.3676308167
150	0.8262003375	0.3675061874
