iter	Passed	Remaining
0	149	149664
1	154	77306
2	160	53264
3	165	41126
4	170	33859
5	174	28973
6	179	25511
7	184	22894
8	189	20892
9	194	19253
10	199	17952
11	204	16844
12	209	15891
13	213	15071
14	219	14398
15	223	13772
16	228	13237
17	233	12762
18	238	12336
19	243	11951
20	248	11590
21	253	11251
22	257	10953
23	262	10676
24	267	10417
25	271	10164
26	275	9942
27	280	9731
28	284	9528
29	288	9343
30	293	9171
31	297	9008
32	302	8855
33	306	8710
34	311	8579
35	315	8446
36	319	8317
37	323	8197
38	328	8088
39	332	7984
40	336	7880
41	341	7784
42	345	7691
43	349	7603
44	354	7518
45	358	7439
46	363	7366
47	368	7314
48	373	7240
49	377	7180
50	382	7112
51	386	7048
52	391	6986
53	395	6931
54	400	6873
55	404	6821
56	409	6770
57	413	6723
58	418	6673
59	423	6627
60	427	6583
61	432	6539
62	436	6497
63	441	6459
64	446	6421
65	450	6381
66	455	6345
67	460	6308
68	464	6272
69	469	6236
70	474	6203
71	478	6170
72	483	6138
73	487	6104
74	492	6071
75	496	6040
76	501	6013
77	506	5983
78	509	5943
79	514	5918
80	519	5895
81	524	5868
82	529	5844
83	533	5819
84	538	5791
85	542	5765
86	546	5740
87	551	5715
88	556	5693
89	560	5671
90	565	5647
91	569	5623
92	574	5602
93	579	5580
94	583	5560
95	588	5539
96	592	5518
97	597	5496
98	601	5476
99	606	5458
100	611	5442
101	615	5422
102	620	5403
103	624	5383
104	629	5367
105	634	5349
106	639	5333
107	643	5316
108	648	5300
109	652	5281
110	657	5264
111	661	5248
112	666	5232
113	671	5216
114	675	5200
115	680	5183
116	684	5169
117	689	5152
118	692	5123
119	696	5108
120	701	5092
121	705	5077
122	710	5064
123	714	5048
124	719	5034
125	723	5020
126	728	5006
127	732	4992
128	737	4978
129	742	4967
130	746	4953
131	751	4939
132	755	4926
133	760	4912
134	764	4898
135	769	4886
136	773	4872
137	778	4859
138	782	4848
139	787	4836
140	791	4824
141	796	4813
142	801	4802
143	806	4791
144	810	4779
145	815	4768
146	819	4756
147	824	4745
148	828	4733
149	833	4722
150	837	4710
151	842	4699
152	846	4687
153	851	4676
154	856	4666
155	860	4655
156	864	4642
157	869	4632
158	873	4620
159	878	4609
160	882	4598
161	886	4588
162	891	4578
163	896	4568
164	900	4557
165	905	4548
166	909	4537
167	914	4526
168	918	4517
169	923	4507
170	927	4497
171	932	4488
172	936	4478
173	941	4469
174	945	4459
175	950	4449
176	953	4434
177	958	4425
178	962	4416
179	967	4408
180	972	4399
181	976	4389
182	981	4380
183	985	4371
184	990	4361
185	994	4352
186	999	4343
187	1003	4334
188	1007	4325
189	1012	4317
190	1017	4309
191	1021	4300
192	1026	4291
193	1031	4284
194	1035	4275
195	1040	4266
196	1044	4259
197	1050	4254
198	1055	4246
199	1060	4240
200	1064	4232
201	1069	4225
202	1074	4219
203	1079	4212
204	1084	4205
205	1089	4197
206	1093	4189
207	1098	4181
208	1102	4173
209	1107	4165
210	1111	4156
211	1116	4149
212	1120	4140
213	1125	4133
214	1129	4125
215	1134	4117
216	1138	4109
217	1143	4101
218	1147	4092
219	1152	4084
220	1156	4077
221	1161	4069
222	1165	4061
223	1170	4053
224	1174	4045
225	1179	4038
226	1183	4030
227	1188	4022
228	1192	4015
229	1197	4008
230	1201	4001
231	1206	3994
232	1211	3986
233	1215	3978
234	1219	3971
235	1224	3963
236	1228	3955
237	1233	3948
238	1237	3941
239	1242	3935
240	1247	3928
241	1252	3922
242	1256	3914
243	1261	3908
244	1266	3903
245	1271	3897
246	1276	3890
247	1280	3883
248	1285	3876
249	1290	3870
250	1294	3864
251	1299	3858
252	1304	3852
253	1309	3845
254	1313	3838
255	1318	3832
256	1323	3826
257	1328	3819
258	1332	3812
259	1337	3806
260	1342	3800
261	1346	3793
262	1351	3788
263	1356	3781
264	1361	3774
265	1365	3767
266	1369	3760
267	1374	3753
268	1378	3746
269	1383	3739
270	1387	3733
271	1392	3726
272	1396	3720
273	1401	3712
274	1405	3705
275	1410	3700
276	1414	3693
277	1419	3686
278	1424	3680
279	1428	3673
280	1432	3666
281	1437	3660
282	1442	3653
283	1446	3646
284	1451	3640
285	1455	3633
286	1459	3627
287	1464	3620
288	1468	3613
289	1473	3607
290	1478	3601
291	1482	3595
292	1487	3588
293	1491	3582
294	1496	3575
295	1500	3569
296	1505	3563
297	1509	3556
298	1514	3550
299	1518	3544
300	1523	3537
301	1527	3531
302	1532	3525
303	1537	3518
304	1541	3512
305	1546	3506
306	1550	3500
307	1555	3493
308	1559	3487
309	1564	3481
310	1568	3475
311	1573	3469
312	1577	3463
313	1582	3457
314	1586	3450
315	1591	3444
316	1595	3438
317	1600	3431
318	1604	3425
319	1609	3419
320	1613	3412
321	1617	3406
322	1622	3400
323	1627	3394
324	1631	3388
325	1636	3382
326	1640	3376
327	1645	3370
328	1649	3365
329	1654	3359
330	1659	3353
331	1663	3347
332	1668	3342
333	1673	3336
334	1677	3330
335	1682	3324
336	1686	3318
337	1691	3312
338	1695	3306
339	1700	3300
340	1705	3295
341	1709	3289
342	1714	3283
343	1718	3277
344	1723	3272
345	1728	3266
346	1732	3260
347	1737	3254
348	1741	3249
349	1746	3243
350	1750	3237
351	1755	3231
352	1759	3225
353	1764	3219
354	1768	3213
355	1773	3208
356	1778	3202
357	1782	3196
358	1787	3190
359	1791	3185
360	1796	3179
361	1800	3173
362	1805	3167
363	1810	3162
364	1814	3157
365	1819	3151
366	1823	3145
367	1828	3140
368	1832	3133
369	1837	3127
370	1841	3122
371	1846	3116
372	1850	3111
373	1855	3106
374	1860	3100
375	1864	3095
376	1869	3089
377	1874	3083
378	1878	3078
379	1883	3072
380	1887	3067
381	1892	3061
382	1897	3056
383	1901	3050
384	1906	3045
385	1910	3039
386	1915	3033
387	1919	3028
388	1924	3022
389	1928	3017
390	1933	3011
391	1937	3005
392	1942	3000
393	1947	2995
394	1952	2989
395	1956	2984
396	1961	2979
397	1965	2973
398	1970	2967
399	1974	2961
400	1979	2956
401	1983	2951
402	1988	2945
403	1992	2940
404	1997	2934
405	2002	2929
406	2007	2924
407	2011	2918
408	2016	2913
409	2020	2907
410	2025	2902
411	2029	2897
412	2034	2891
413	2038	2885
414	2043	2880
415	2048	2875
416	2053	2870
417	2057	2865
418	2062	2859
419	2066	2854
420	2071	2848
421	2076	2843
422	2081	2838
423	2085	2833
424	2090	2828
425	2095	2823
426	2100	2818
427	2105	2813
428	2110	2809
429	2115	2804
430	2120	2799
431	2125	2794
432	2130	2789
433	2135	2784
434	2139	2778
435	2144	2773
436	2148	2768
437	2153	2762
438	2157	2757
439	2162	2751
440	2166	2746
441	2171	2740
442	2175	2735
443	2180	2730
444	2184	2724
445	2189	2719
446	2193	2713
447	2198	2708
448	2202	2703
449	2207	2697
450	2211	2692
451	2216	2686
452	2220	2681
453	2225	2676
454	2229	2670
455	2234	2665
456	2238	2660
457	2243	2654
458	2247	2649
459	2252	2644
460	2256	2638
461	2261	2633
462	2265	2627
463	2270	2622
464	2274	2617
465	2279	2612
466	2284	2606
467	2288	2601
468	2293	2596
469	2297	2591
470	2302	2586
471	2307	2580
472	2311	2575
473	2316	2570
474	2320	2564
475	2325	2560
476	2330	2555
477	2335	2549
478	2339	2544
479	2344	2539
480	2348	2534
481	2353	2529
482	2358	2524
483	2363	2519
484	2367	2514
485	2372	2509
486	2376	2503
487	2380	2497
488	2384	2491
489	2387	2485
490	2391	2478
491	2394	2472
492	2398	2466
493	2402	2461
494	2406	2455
495	2411	2450
496	2416	2445
497	2421	2440
498	2426	2436
499	2432	2432
500	2437	2427
501	2442	2423
502	2448	2418
503	2453	2414
504	2458	2410
505	2464	2405
506	2469	2401
507	2474	2396
508	2480	2392
509	2485	2387
510	2490	2383
511	2500	2383
512	2505	2378
513	2510	2373
514	2516	2369
515	2521	2364
516	2526	2360
517	2532	2356
518	2538	2352
519	2543	2347
520	2549	2343
521	2554	2338
522	2559	2334
523	2564	2329
524	2569	2324
525	2574	2319
526	2579	2315
527	2584	2310
528	2589	2305
529	2595	2301
530	2601	2297
531	2606	2292
532	2610	2287
533	2615	2282
534	2621	2278
535	2626	2273
536	2632	2269
537	2637	2264
538	2642	2260
539	2647	2255
540	2652	2250
541	2657	2246
542	2662	2241
543	2668	2236
544	2673	2232
545	2678	2227
546	2683	2222
547	2688	2217
548	2693	2212
549	2698	2208
550	2703	2203
551	2708	2198
552	2714	2194
553	2719	2189
554	2724	2184
555	2728	2179
556	2733	2174
557	2737	2168
558	2742	2163
559	2747	2158
560	2752	2153
561	2756	2148
562	2761	2143
563	2766	2138
564	2771	2133
565	2775	2128
566	2779	2122
567	2784	2117
568	2789	2112
569	2794	2107
570	2798	2102
571	2802	2097
572	2808	2092
573	2812	2087
574	2817	2082
575	2822	2077
576	2827	2072
577	2832	2067
578	2836	2062
579	2841	2057
580	2845	2052
581	2850	2047
582	2855	2042
583	2860	2037
584	2864	2032
585	2869	2027
586	2873	2021
587	2877	2016
588	2882	2011
589	2886	2005
590	2890	2000
591	2895	1995
592	2900	1990
593	2904	1985
594	2908	1979
595	2913	1974
596	2917	1969
597	2921	1964
598	2926	1958
599	2930	1953
600	2935	1948
601	2939	1943
602	2943	1938
603	2948	1932
604	2952	1927
605	2956	1922
606	2961	1917
607	2965	1911
608	2970	1906
609	2974	1901
610	2979	1896
611	2983	1891
612	2986	1885
613	2989	1879
614	2993	1873
615	2996	1867
616	2999	1862
617	3003	1856
618	3006	1850
619	3010	1845
620	3013	1839
621	3017	1833
622	3020	1828
623	3024	1822
624	3028	1817
625	3033	1812
626	3037	1807
627	3041	1801
628	3046	1796
629	3051	1791
630	3055	1786
631	3059	1781
632	3064	1776
633	3068	1771
634	3072	1766
635	3077	1761
636	3081	1756
637	3086	1751
638	3090	1746
639	3094	1740
640	3099	1735
641	3104	1731
642	3108	1726
643	3113	1720
644	3118	1716
645	3122	1711
646	3127	1706
647	3132	1701
648	3137	1696
649	3142	1692
650	3147	1687
651	3151	1682
652	3156	1677
653	3160	1672
654	3164	1666
655	3169	1662
656	3173	1656
657	3178	1651
658	3182	1646
659	3186	1641
660	3190	1636
661	3195	1631
662	3199	1626
663	3203	1621
664	3207	1616
665	3212	1611
666	3216	1606
667	3221	1600
668	3225	1595
669	3229	1590
670	3234	1585
671	3238	1580
672	3242	1575
673	3247	1570
674	3251	1565
675	3255	1560
676	3260	1555
677	3264	1550
678	3268	1545
679	3273	1540
680	3277	1535
681	3281	1530
682	3286	1525
683	3290	1520
684	3295	1515
685	3299	1510
686	3304	1505
687	3308	1500
688	3313	1495
689	3317	1490
690	3321	1485
691	3326	1480
692	3330	1475
693	3334	1470
694	3339	1465
695	3343	1460
696	3348	1455
697	3352	1450
698	3356	1445
699	3360	1440
700	3365	1435
701	3369	1430
702	3373	1425
703	3377	1420
704	3382	1415
705	3386	1410
706	3390	1405
707	3395	1400
708	3399	1395
709	3403	1390
710	3408	1385
711	3412	1380
712	3416	1375
713	3421	1370
714	3425	1365
715	3430	1360
716	3434	1355
717	3438	1350
718	3443	1345
719	3447	1340
720	3451	1335
721	3456	1330
722	3461	1326
723	3465	1321
724	3469	1316
725	3474	1311
726	3478	1306
727	3482	1301
728	3487	1296
729	3491	1291
730	3495	1286
731	3500	1281
732	3504	1276
733	3509	1271
734	3513	1266
735	3517	1261
736	3522	1257
737	3527	1252
738	3531	1247
739	3535	1242
740	3540	1237
741	3544	1232
742	3548	1227
743	3553	1222
744	3558	1217
745	3562	1212
746	3566	1207
747	3571	1203
748	3575	1198
749	3579	1193
750	3584	1188
751	3588	1183
752	3592	1178
753	3597	1173
754	3601	1168
755	3605	1163
756	3609	1158
757	3613	1153
758	3618	1148
759	3622	1143
760	3626	1139
761	3631	1134
762	3635	1129
763	3640	1124
764	3645	1119
765	3649	1114
766	3653	1109
767	3658	1105
768	3662	1100
769	3667	1095
770	3671	1090
771	3675	1085
772	3680	1080
773	3684	1075
774	3688	1070
775	3693	1066
776	3697	1061
777	3701	1056
778	3706	1051
779	3710	1046
780	3715	1041
781	3719	1036
782	3724	1032
783	3728	1027
784	3733	1022
785	3737	1017
786	3741	1012
787	3746	1007
788	3750	1003
789	3755	998
790	3759	993
791	3763	988
792	3768	983
793	3772	978
794	3776	973
795	3781	969
796	3786	964
797	3790	959
798	3795	954
799	3799	949
800	3804	945
801	3808	940
802	3813	935
803	3817	930
804	3822	925
805	3826	921
806	3831	916
807	3835	911
808	3840	906
809	3844	901
810	3848	896
811	3853	892
812	3857	887
813	3862	882
814	3867	877
815	3871	872
816	3876	868
817	3880	863
818	3884	858
819	3889	853
820	3893	848
821	3898	844
822	3902	839
823	3907	834
824	3911	829
825	3916	825
826	3921	820
827	3925	815
828	3930	810
829	3935	806
830	3940	801
831	3944	796
832	3949	791
833	3954	787
834	3959	782
835	3963	777
836	3967	772
837	3972	767
838	3978	763
839	3983	758
840	3988	753
841	3992	749
842	3997	744
843	4002	739
844	4007	735
845	4011	730
846	4016	725
847	4021	720
848	4026	716
849	4031	711
850	4036	706
851	4041	702
852	4046	697
853	4050	692
854	4055	687
855	4059	682
856	4064	678
857	4069	673
858	4074	668
859	4079	664
860	4086	659
861	4091	654
862	4096	650
863	4101	645
864	4107	641
865	4112	636
866	4117	631
867	4122	626
868	4127	622
869	4132	617
870	4137	612
871	4142	608
872	4147	603
873	4152	598
874	4157	593
875	4162	589
876	4167	584
877	4173	579
878	4178	575
879	4183	570
880	4189	565
881	4193	561
882	4198	556
883	4203	551
884	4207	546
885	4212	542
886	4217	537
887	4222	532
888	4227	527
889	4232	523
890	4237	518
891	4242	513
892	4247	508
893	4252	504
894	4257	499
895	4262	494
896	4266	489
897	4271	485
898	4276	480
899	4281	475
900	4286	470
901	4291	466
902	4295	461
903	4300	456
904	4305	452
905	4310	447
906	4315	442
907	4320	437
908	4324	432
909	4328	428
910	4333	423
911	4338	418
912	4342	413
913	4347	409
914	4351	404
915	4356	399
916	4361	394
917	4365	389
918	4370	385
919	4374	380
920	4379	375
921	4383	370
922	4388	366
923	4392	361
924	4397	356
925	4401	351
926	4406	346
927	4410	342
928	4414	337
929	4419	332
930	4423	327
931	4428	323
932	4432	318
933	4438	313
934	4442	308
935	4447	304
936	4451	299
937	4455	294
938	4460	289
939	4464	284
940	4469	280
941	4473	275
942	4478	270
943	4482	265
944	4487	261
945	4492	256
946	4496	251
947	4500	246
948	4505	242
949	4510	237
950	4514	232
951	4518	227
952	4523	223
953	4527	218
954	4532	213
955	4536	208
956	4541	204
957	4545	199
